DailyTotals,Off work,Vaccinations,Date Index,DailyRecovered,DailyDeaths,DailyTested,DailyActive,DailyHospitalized,DailyICU,DailyVaccinated,DailyDose1,DailyDose2,DailyBooster
1630,0,1,734,1228,0.903089987,15779,382,-58,-8,7151,188,1417,2.358877029
0,1,1,735,0,0.84509804,0,0,0,0,0,0,0,0
2611,0,1,736,3425,0.301029996,30656,-854,-68,-2,16183,547,3261,0
2611,0,1,737,3425,0.903089987,30656,-854,-68,-2,16183,547,3261,2.551635209
0,1,1,738,0,0.903089987,0,0,0,0,0,0,0,0
3233,0,1,739,4206,0.903089987,35486,-992,-138,-1,24516,619,6176,2.647149018
1246,0,1,740,1209,0.903089987,10551,27,-22,-2,4698,179,1032,2.241447481
1366,0,1,741,1074,0.954242509,12997,288,-59,-8,4979,179,1101,2.256065925
1227,0,1,742,975,0.77815125,13414,193,-33,-1,6623,333,1991,2.291495735
630,0,1,743,1396,0.477121255,13992,-772,65,-3,7894,367,2022,2.347349847
0,1,1,744,0,1.041392685,0,0,0,0,0,0,0,0
0,1,1,745,0,0.77815125,0,0,0,0,0,0,0,0
2625,0,1,746,3438,0.602059991,33382,-841,-49,-4,23356,798,7598,2.597136425
1023,0,1,747,1094,1,9972,-91,5,5,3850,130,920,2.190456515
1380,0,1,748,843,0.477121255,13213,526,-9,-10,4636,121,1080,2.236354029
1462,0,1,749,909,0.84509804,14110,534,-39,-6,5830,224,1335,2.281366005
1170,0,1,750,1113,0.301029996,14341,44,-13,-5,6774,230,1746,2.30966171
0,1,1,751,0,0,0,0,0,0,0,0,0,0
0,1,1,752,0,0.698970004,0,0,0,0,0,0,0,0
3224,0,1,753,3522,0.698970004,34553,-588,-19,3,21417,839,6035,2.583558561
1383,0,1,754,1015,0.77815125,10716,631,41,-2,3880,89,774,2.196832598
2111,0,1,755,700,0.602059991,13351,949,-9,4,3325,-18,616,2.171285584
2295,0,1,756,948,0.301029996,16174,1793,28,7,5518,102,1155,2.265336898
2203,0,1,757,1458,#NUM!,15454,733,-14,2,8011,198,1365,2.349742118
0,1,1,758,0,0.477121255,0,0,0,0,0,0,0,0
0,1,1,759,0,0.602059991,0,0,0,0,0,0,0,0
5714,0,1,760,3997,0.903089987,40975,1692,67,-6,25755,818,5709,2.630401858
2171,0,1,761,1184,0.301029996,12508,967,38,10,4395,119,604,2.183908887
3067,0,1,762,931,0,17414,2128,47,-3,8977,175,807,2.260841398
3319,0,1,763,1206,0.477121255,19000,2101,38,6,17413,243,1013,2.319006389
3182,0,1,764,2084,0.301029996,19704,1081,37,-4,20898,191,1187,2.396519971
0,1,1,765,0,0,0,0,0,0,0,0,0,0
0,1,1,766,0,0.602059991,0,0,0,0,0,0,0,0
7973,0,1,767,6611,0,52719,1333,132,7,47188,856,3705,2.591634033
2615,0,1,768,1975,0,14199,609,72,0,13538,109,439,2.212356822
3761,0,1,769,1575,0.301029996,0,0,61,-3,19909,82,442,2.288028084
3777,0,1,770,1894,0.954242509,90511,4029,42,-2,32210,193,535,2.314323997
3572,0,1,771,3161,0.301029996,22063,381,55,-2,36564,187,912,2.335676507
0,1,1,772,0,0,0,0,0,0,0,0,0,0
0,1,1,773,0,0.602059991,0,0,0,0,0,0,0,0
8246,0,1,774,9064,0.477121255,58314,-850,156,7,78271,938,3245,2.549994808
2596,0,1,775,2660,0.602059991,15261,-99,145,-2,26567,196,360,2.180612493
3515,0,1,776,1997,0,17894,1505,122,16,40073,215,355,2.244302024
3190,0,1,777,2285,0,22407,879,94,13,47521,194,444,2.322590309
0,1,1,778,0,0,0,0,0,0,0,0,0,0
