,DATE,UNRATE(%),CONSUMER CONF INDEX,PPI-CONST MAT.,CPIALLITEMS,INFLATION(%),MORTGAGE INT. MONTHLY AVG(%),MED HOUSEHOLD INCOME,CORP. BOND YIELD(%),MONTHLY HOME SUPPLY,% SHARE OF WORKING POPULATION,GDP PER CAPITA,QUARTERLY REAL GDP,QUARTERLY GDP GROWTH RATE (%),CSUSHPISA,new UNRATE(%),new CONSUMER CONF INDEX,new PPI-CONST MAT.,new CPIALLITEMS,new INFLATION(%),new MORTGAGE INT. MONTHLY AVG(%),new MED HOUSEHOLD INCOME,new CORP. BOND YIELD(%),new MONTHLY HOME SUPPLY,new % SHARE OF WORKING POPULATION,new GDP PER CAPITA,new QUARTERLY REAL GDP,new QUARTERLY GDP GROWTH RATE (%),new CSUSHPISA
197,2005-01-12,4.9,98.3,173.5,83.0320188,3.415659485,6.272,46326.0,5.37,4.9,67.11898948,44850,15041.232,0.567928238,205.017,0.0019267346633274757,1.0502940418224732e-05,0.0016249285593767351,0.0014845397530666427,3.85907720370863e-05,1.1173916305874176e-06,0.0015167106604462989,6.104320880159135e-06,0.001115036134202951,6.51343331997665e-07,0.001011316590169828,0.0005690378958379288,2.110390584839466e-05,6.919734804497459e-05
196,2006-01-01,4.7,103.8,177.2,83.6648848,3.985317251,6.145,48201.0,5.29,5.3,67.26293826,45675,15244.088,1.34866612,204.366,0.002302559873986887,6.46660005013783e-06,0.0013617113279875452,0.0012994642344319165,2.263676659002368e-05,1.5205916878340466e-06,0.0007439563915643094,7.261101190035738e-06,0.0007116652370313656,3.552278433790093e-07,0.0008087536696380987,0.0004130553073561194,1.3142547910994602e-05,7.168775274320374e-05
195,2006-01-02,4.8,106.8,177.7,83.83364906,3.597497386,6.2525,48201.0,5.35,6.1,67.26293826,45675,15244.088,1.34866612,203.783,0.002106299197485622,4.963453231048644e-06,0.001329572547906058,0.001254128147050141,3.2548713911769735e-05,1.171522454708023e-06,0.0007439563915643094,6.3749773539395496e-06,0.0002897890693214001,3.552278433790093e-07,0.0008087536696380987,0.0004130553073561194,1.3142547910994602e-05,7.399399801593028e-05
194,2006-01-03,4.7,102.7,178.3,84.29775079,3.362648733,6.324,48201.0,5.53,5.9,67.26293826,45675,15244.088,1.34866612,203.015,0.002302559873986887,7.125298220508897e-06,0.0012920043973397171,0.001137435544038996,4.055475035446117e-05,9.849591085280048e-07,0.0007439563915643094,4.314265405519751e-06,0.00036278101817563364,3.552278433790093e-07,0.0008087536696380987,0.0004130553073561194,1.3142547910994602e-05,7.714568925717756e-05
193,2006-01-04,4.7,107.5,179.0,85.01499892,3.545734833,6.5075,48201.0,5.84,6.3,67.26293826,46089,15281.525,0.245583731,202.345,0.002302559873986887,4.666333364425898e-06,0.001249512735283905,0.0009780634460891,3.416525095390727e-05,6.310772208157621e-07,0.0007439563915643094,2.202246524728911e-06,0.00023147978190594704,3.552278433790093e-07,0.0007229320057846124,0.0003893400332752492,2.5661561086432602e-05,8.00046472849e-05
192,2006-01-05,4.6,109.8,179.9,85.43690959,4.166666662,6.5975,48201.0,5.95,6.2,67.26293826,46089,15281.525,0.245583731,201.646,0.002517061594176658,3.8097082203777156e-06,0.0011969251049543436,0.0008949480606964325,1.9101274062553707e-05,5.072924927176074e-07,0.0007439563915643094,1.7347559501676562e-06,0.0002589990928110253,3.552278433790093e-07,0.0007229320057846124,0.0003893400332752492,2.5661561086432602e-05,8.310033057408196e-05
191,2006-01-06,4.6,104.7,180.7,85.60567385,4.318766063,6.682,48201.0,5.89,6.3,67.26293826,46089,15281.525,0.245583731,200.876,0.002517061594176658,5.973218472995514e-06,0.0011520393488830168,0.000863712646285933,1.6565541166072222e-05,4.1326550926980277e-07,0.0007439563915643094,1.9758888415396033e-06,0.00023147978190594704,3.552278433790093e-07,0.0007229320057846124,0.0003893400332752492,2.5661561086432602e-05,8.66492738140498e-05
190,2006-01-07,4.7,105.4,182.3,85.85882025,4.145342882,6.7625,48201.0,5.85,7.3,67.26293826,46361,15304.517,0.150456188,200.038,0.002302559873986887,5.615652861199457e-06,0.0010672491520340621,0.0008188899949850634,1.9486525368365388e-05,3.399494032224155e-07,0.0007439563915643094,2.1549899505755177e-06,7.52678635477939e-05,3.552278433790093e-07,0.0006715630236669277,0.00037545498390598907,2.7185913098491503e-05,9.068406108522492e-05
189,2006-01-08,4.7,107.0,182.6,86.02758452,3.818737277,6.524,48201.0,5.68,6.7,67.26293826,46361,15304.517,0.150456188,199.184,0.002302559873986887,4.876682225854184e-06,0.0010520593244152483,0.000790307052375588,2.6458163409266333e-05,6.063146927240246e-07,0.0007439563915643094,3.115995415451406e-06,0.00014769334553712396,3.552278433790093e-07,0.0006715630236669277,0.00037545498390598907,2.7185913098491503e-05,9.498921633054519e-05
188,2006-01-09,4.5,100.2,183.3,85.60567385,2.062374239,6.4025,48201.0,5.51,6.7,67.26293826,46361,15304.517,0.150456188,198.201,0.0027514907427478624,8.882724980824e-06,0.0010174509775883174,0.000863712646285933,0.00013702908883528786,8.141615117364324e-07,0.0007439563915643094,4.505553849794651e-06,0.00014769334553712396,3.552278433790093e-07,0.0006715630236669277,0.00037545498390598907,2.7185913098491503e-05,0.00010019828043812383
187,2006-01-10,4.4,105.9,182.3,85.14157212,1.305220874,6.3575,48201.0,5.51,7.3,67.26293826,46807,15433.643,0.843711696,197.044,0.003007687858834696,5.3734297071033045e-06,0.0010672491520340621,0.0009523500478038771,0.0002784072667025904,9.080768171864742e-07,0.0007439563915643094,4.505553849794651e-06,7.52678635477939e-05,3.552278433790093e-07,0.000595107331177765,0.0003061830104414378,1.7852894116332176e-05,0.00010669650666671646
186,2006-01-11,4.5,105.1,179.8,85.01499892,1.973684208,6.24,48201.0,5.33,6.6,67.26293826,46807,15433.643,0.843711696,195.866,0.0027514907427478624,5.7661967914176735e-06,0.0012026572708818623,0.0009780634460891,0.00014889402105686066,1.2075930880258921e-06,0.0007439563915643094,6.657634251768749e-06,0.00016525341139439297,3.552278433790093e-07,0.000595107331177765,0.0003061830104414378,1.7852894116332176e-05,0.00011374577322676144
185,2006-01-12,4.4,105.3,179.8,85.14157212,2.540650403,6.135,48201.0,5.32,6.5,67.26293826,46807,15433.643,0.843711696,194.778,0.003007687858834696,5.665392316423029e-06,0.0012026572708818623,0.0009523500478038771,8.756338421550201e-05,1.5579324007247482e-06,0.0007439563915643094,6.803628222155873e-06,0.00018490090297881075,3.552278433790093e-07,0.000595107331177765,0.0003061830104414378,1.7852894116332176e-05,0.00012066945653345878
184,2007-01-01,4.6,110.0,181.1,85.40146909,2.075642958,6.2175,50233.0,5.4,7.2,67.29843266,47289,15478.956,0.293598861,193.786,0.002517061594176658,3.7431068903919188e-06,0.0011302309747295617,0.000901649541268642,0.00013533720574702526,1.2753418753477302e-06,0.000343636041882262,5.719728413571908e-06,8.421759489465656e-05,3.059022269256247e-07,0.0005222309482289627,0.0002850337449770036,2.492491720901373e-05,0.00012734883752789562
183,2007-01-02,4.5,110.2,181.5,85.85839834,2.415198793,6.285,50233.0,5.39,7.9,67.29843266,47289,15478.956,0.293598861,192.723,0.0027514907427478624,3.6776698807650706e-06,0.0011088349798995766,0.0008189627312986843,9.847775249147255e-05,1.082701183377128e-06,0.000343636041882262,5.845155348941023e-06,3.8356840207136074e-05,3.059022269256247e-07,0.0005222309482289627,0.0002850337449770036,2.492491720901373e-05,0.00013491712041711277
182,2007-01-03,4.4,111.2,182.5,86.6401988,2.778778779,6.156,50233.0,5.3,7.9,67.29843266,47289,15478.956,0.293598861,191.499,0.003007687858834696,3.3672495570988795e-06,0.001057098451298834,0.0006946763063156409,7.006238572595745e-05,1.48054978144467e-06,0.000343636041882262,7.105290719071086e-06,3.8356840207136074e-05,3.059022269256247e-07,0.0005222309482289627,0.0002850337449770036,2.492491720901373e-05,0.00014419037431529075
